observation_date,Housing_Starts_Per_Capita
1959-01-01,0.00942
1959-02-01,0.00947
1959-03-01,0.00919
1959-04-01,0.00901
1959-05-01,0.00848
1959-06-01,0.00849
1959-07-01,0.00873
1959-08-01,0.00806
1959-09-01,0.00866
1959-10-01,0.00761
1959-11-01,0.00794
1959-12-01,0.00897
1960-01-01,0.00816
1960-02-01,0.00838
1960-03-01,0.00617
1960-04-01,0.00716
1960-05-01,0.00705
1960-06-01,0.00690
1960-07-01,0.00661
1960-08-01,0.00741
1960-09-01,0.00604
1960-10-01,0.00685
1960-11-01,0.00685
1960-12-01,0.00583
1961-01-01,0.00649
1961-02-01,0.00671
1961-03-01,0.00717
1961-04-01,0.00637
1961-05-01,0.00670
1961-06-01,0.00753
1961-07-01,0.00726
1961-08-01,0.00713
1961-09-01,0.00775
1961-10-01,0.00766
1961-11-01,0.00749
1961-12-01,0.00737
1962-01-01,0.00734
1962-02-01,0.00689
1962-03-01,0.00777
1962-04-01,0.00819
1962-05-01,0.00796
1962-06-01,0.00753
1962-07-01,0.00777
1962-08-01,0.00812
1962-09-01,0.00707
1962-10-01,0.00818
1962-11-01,0.00864
1962-12-01,0.00832
1963-01-01,0.00661
1963-02-01,0.00773
1963-03-01,0.00814
1963-04-01,0.00895
1963-05-01,0.00869
1963-06-01,0.00840
1963-07-01,0.00852
1963-08-01,0.00864
1963-09-01,0.00928
1963-10-01,0.00936
1963-11-01,0.00852
1963-12-01,0.00782
1964-01-01,0.00840
1964-02-01,0.00953
1964-03-01,0.00794
1964-04-01,0.00757
1964-05-01,0.00766
1964-06-01,0.00808
1964-07-01,0.00813
1964-08-01,0.00816
1964-09-01,0.00756
1964-10-01,0.00791
1964-11-01,0.00770
1964-12-01,0.00768
1965-01-01,0.00704
1965-02-01,0.00741
1965-03-01,0.00735
1965-04-01,0.00742
1965-05-01,0.00762
1965-06-01,0.00766
1965-07-01,0.00786
1965-08-01,0.00736
1965-09-01,0.00760
1965-10-01,0.00744
1965-11-01,0.00748
1965-12-01,0.00847
1966-01-01,0.00700
1966-02-01,0.00704
1966-03-01,0.00712
1966-04-01,0.00689
1966-05-01,0.00645
1966-06-01,0.00608
1966-07-01,0.00552
1966-08-01,0.00568
1966-09-01,0.00531
1966-10-01,0.00427
1966-11-01,0.00487
1966-12-01,0.00501
1967-01-01,0.00539
1967-02-01,0.00567
1967-03-01,0.00533
1967-04-01,0.00550
1967-05-01,0.00657
1967-06-01,0.00628
1967-07-01,0.00686
1967-08-01,0.00707
1967-09-01,0.00713
1967-10-01,0.00748
1967-11-01,0.00771
1967-12-01,0.00655
1968-01-01,0.00690
1968-02-01,0.00760
1968-03-01,0.00733
1968-04-01,0.00776
1968-05-01,0.00702
1968-06-01,0.00700
1968-07-01,0.00753
1968-08-01,0.00744
1968-09-01,0.00773
1968-10-01,0.00779
1968-11-01,0.00809
1968-12-01,0.00768
1969-01-01,0.00877
1969-02-01,0.00844
1969-03-01,0.00772
1969-04-01,0.00754
1969-05-01,0.00782
1969-06-01,0.00754
1969-07-01,0.00675
1969-08-01,0.00669
1969-09-01,0.00742
1969-10-01,0.00679
1969-11-01,0.00604
1969-12-01,0.00651
1970-01-01,0.00532
1970-02-01,0.00639
1970-03-01,0.00646
1970-04-01,0.00618
1970-05-01,0.00630
1970-06-01,0.00676
1970-07-01,0.00739
1970-08-01,0.00681
1970-09-01,0.00746
1970-10-01,0.00767
1970-11-01,0.00799
1970-12-01,0.00917
1971-01-01,0.00885
1971-02-01,0.00842
1971-03-01,0.00923
1971-04-01,0.00959
1971-05-01,0.00988
1971-06-01,0.00976
1971-07-01,0.01003
1971-08-01,0.01038
1971-09-01,0.00980
1971-10-01,0.01021
1971-11-01,0.01046
1971-12-01,0.01099
1972-01-01,0.01193
1972-02-01,0.01143
1972-03-01,0.01115
1972-04-01,0.01074
1972-05-01,0.01059
1972-06-01,0.01074
1972-07-01,0.01072
1972-08-01,0.01133
1972-09-01,0.01179
1972-10-01,0.01180
1972-11-01,0.01149
1972-12-01,0.01122
1973-01-01,0.01176
1973-02-01,0.01084
1973-03-01,0.01119
1973-04-01,0.00985
1973-05-01,0.01071
1973-06-01,0.00976
1973-07-01,0.01001
1973-08-01,0.00967
1973-09-01,0.00882
1973-10-01,0.00789
1973-11-01,0.00810
1973-12-01,0.00717
1974-01-01,0.00681
1974-02-01,0.00822
1974-03-01,0.00729
1974-04-01,0.00753
1974-05-01,0.00668
1974-06-01,0.00708
1974-07-01,0.00615
1974-08-01,0.00533
1974-09-01,0.00537
1974-10-01,0.00499
1974-11-01,0.00478
1974-12-01,0.00454
1975-01-01,0.00480
1975-02-01,0.00420
1975-03-01,0.00461
1975-04-01,0.00466
1975-05-01,0.00520
1975-06-01,0.00504
1975-07-01,0.00567
1975-08-01,0.00583
1975-09-01,0.00584
1975-10-01,0.00620
1975-11-01,0.00627
1975-12-01,0.00609
1976-01-01,0.00629
1976-02-01,0.00708
1976-03-01,0.00653
1976-04-01,0.00641
1976-05-01,0.00670
1976-06-01,0.00686
1976-07-01,0.00642
1976-08-01,0.00710
1976-09-01,0.00787
1976-10-01,0.00745
1976-11-01,0.00750
1976-12-01,0.00823
1977-01-01,0.00696
1977-02-01,0.00886
1977-03-01,0.00939
1977-04-01,0.00861
1977-05-01,0.00896
1977-06-01,0.00860
1977-07-01,0.00934
1977-08-01,0.00916
1977-09-01,0.00883
1977-10-01,0.00924
1977-11-01,0.00923
1977-12-01,0.00968
1978-01-01,0.00775
1978-02-01,0.00784
1978-03-01,0.00916
1978-04-01,0.00989
1978-05-01,0.00934
1978-06-01,0.00930
1978-07-01,0.00939
1978-08-01,0.00895
1978-09-01,0.00883
1978-10-01,0.00887
1978-11-01,0.00937
1978-12-01,0.00913
1979-01-01,0.00728
1979-02-01,0.00678
1979-03-01,0.00823
1979-04-01,0.00779
1979-05-01,0.00835
1979-06-01,0.00850
1979-07-01,0.00782
1979-08-01,0.00789
1979-09-01,0.00812
1979-10-01,0.00744
1979-11-01,0.00674
1979-12-01,0.00662
1980-01-01,0.00592
1980-02-01,0.00595
1980-03-01,0.00461
1980-04-01,0.00463
1980-05-01,0.00408
1980-06-01,0.00525
1980-07-01,0.00557
1980-08-01,0.00630
1980-09-01,0.00644
1980-10-01,0.00666
1980-11-01,0.00660
1980-12-01,0.00648
1981-01-01,0.00676
1981-02-01,0.00544
1981-03-01,0.00570
1981-04-01,0.00593
1981-05-01,0.00496
1981-06-01,0.00455
1981-07-01,0.00452
1981-08-01,0.00408
1981-09-01,0.00395
1981-10-01,0.00378
1981-11-01,0.00362
1981-12-01,0.00394
1982-01-01,0.00365
1982-02-01,0.00374
1982-03-01,0.00402
1982-04-01,0.00396
1982-05-01,0.00442
1982-06-01,0.00389
1982-07-01,0.00502
1982-08-01,0.00450
1982-09-01,0.00492
1982-10-01,0.00504
1982-11-01,0.00589
1982-12-01,0.00559
1983-01-01,0.00680
1983-02-01,0.00727
1983-03-01,0.00687
1983-04-01,0.00629
1983-05-01,0.00759
1983-06-01,0.00740
1983-07-01,0.00762
1983-08-01,0.00814
1983-09-01,0.00728
1983-10-01,0.00730
1983-11-01,0.00759
1983-12-01,0.00717
1984-01-01,0.00806
1984-02-01,0.00959
1984-03-01,0.00705
1984-04-01,0.00785
1984-05-01,0.00751
1984-06-01,0.00780
1984-07-01,0.00733
1984-08-01,0.00670
1984-09-01,0.00717
1984-10-01,0.00671
1984-11-01,0.00712
1984-12-01,0.00679
1985-01-01,0.00720
1985-02-01,0.00687
1985-03-01,0.00757
1985-04-01,0.00765
1985-05-01,0.00705
1985-06-01,0.00703
1985-07-01,0.00706
1985-08-01,0.00730
1985-09-01,0.00701
1985-10-01,0.00767
1985-11-01,0.00709
1985-12-01,0.00811
1986-01-01,0.00823
1986-02-01,0.00770
1986-03-01,0.00782
1986-04-01,0.00805
1986-05-01,0.00771
1986-06-01,0.00768
1986-07-01,0.00740
1986-08-01,0.00750
1986-09-01,0.00700
1986-10-01,0.00696
1986-11-01,0.00672
1986-12-01,0.00758
1987-01-01,0.00733
1987-02-01,0.00737
1987-03-01,0.00713
1987-04-01,0.00666
1987-05-01,0.00671
1987-06-01,0.00657
1987-07-01,0.00648
1987-08-01,0.00660
1987-09-01,0.00697
1987-10-01,0.00622
1987-11-01,0.00679
1987-12-01,0.00574
1988-01-01,0.00521
1988-02-01,0.00603
1988-03-01,0.00627
1988-04-01,0.00643
1988-05-01,0.00581
1988-06-01,0.00603
1988-07-01,0.00598
1988-08-01,0.00609
1988-09-01,0.00608
1988-10-01,0.00619
1988-11-01,0.00638
1988-12-01,0.00635
1989-01-01,0.00658
1989-02-01,0.00578
1989-03-01,0.00577
1989-04-01,0.00543
1989-05-01,0.00539
1989-06-01,0.00565
1989-07-01,0.00577
1989-08-01,0.00538
1989-09-01,0.00516
1989-10-01,0.00568
1989-11-01,0.00544
1989-12-01,0.00503
1990-01-01,0.00624
1990-02-01,0.00577
1990-03-01,0.00517
1990-04-01,0.00500
1990-05-01,0.00485
1990-06-01,0.00471
1990-07-01,0.00468
1990-08-01,0.00445
1990-09-01,0.00442
1990-10-01,0.00404
1990-11-01,0.00455
1990-12-01,0.00385
1991-01-01,0.00317
1991-02-01,0.00383
1991-03-01,0.00365
1991-04-01,0.00396
1991-05-01,0.00394
1991-06-01,0.00409
1991-07-01,0.00419
1991-08-01,0.00413
1991-09-01,0.00399
1991-10-01,0.00424
1991-11-01,0.00433
1991-12-01,0.00423
1992-01-01,0.00461
1992-02-01,0.00489
1992-03-01,0.00507
1992-04-01,0.00429
1992-05-01,0.00473
1992-06-01,0.00446
1992-07-01,0.00443
1992-08-01,0.00476
1992-09-01,0.00460
1992-10-01,0.00482
1992-11-01,0.00470
1992-12-01,0.00475
1993-01-01,0.00468
1993-02-01,0.00467
1993-03-01,0.00418
1993-04-01,0.00485
1993-05-01,0.00485
1993-06-01,0.00492
1993-07-01,0.00482
1993-08-01,0.00499
1993-09-01,0.00515
1993-10-01,0.00533
1993-11-01,0.00526
1993-12-01,0.00586
1994-01-01,0.00485
1994-02-01,0.00510
1994-03-01,0.00596
1994-04-01,0.00558
1994-05-01,0.00580
1994-06-01,0.00535
1994-07-01,0.00546
1994-08-01,0.00550
1994-09-01,0.00558
1994-10-01,0.00548
1994-11-01,0.00571
1994-12-01,0.00549
1995-01-01,0.00531
1995-02-01,0.00496
1995-03-01,0.00470
1995-04-01,0.00477
1995-05-01,0.00494
1995-06-01,0.00481
1995-07-01,0.00548
1995-08-01,0.00530
1995-09-01,0.00512
1995-10-01,0.00512
1995-11-01,0.00542
1995-12-01,0.00534
1996-01-01,0.00547
1996-02-01,0.00555
1996-03-01,0.00530
1996-04-01,0.00564
1996-05-01,0.00559
1996-06-01,0.00544
1996-07-01,0.00546
1996-08-01,0.00576
1996-09-01,0.00545
1996-10-01,0.00514
1996-11-01,0.00549
1996-12-01,0.00505
1997-01-01,0.00499
1997-02-01,0.00547
1997-03-01,0.00536
1997-04-01,0.00548
1997-05-01,0.00529
1997-06-01,0.00548
1997-07-01,0.00526
1997-08-01,0.00508
1997-09-01,0.00565
1997-10-01,0.00555
1997-11-01,0.00551
1997-12-01,0.00570
1998-01-01,0.00555
1998-02-01,0.00576
1998-03-01,0.00569
1998-04-01,0.00559
1998-05-01,0.00557
1998-06-01,0.00595
1998-07-01,0.00615
1998-08-01,0.00584
1998-09-01,0.00571
1998-10-01,0.00619
1998-11-01,0.00598
1998-12-01,0.00645
1999-01-01,0.00629
1999-02-01,0.00601
1999-03-01,0.00614
1999-04-01,0.00557
1999-05-01,0.00578
1999-06-01,0.00558
1999-07-01,0.00597
1999-08-01,0.00589
1999-09-01,0.00584
1999-10-01,0.00574
1999-11-01,0.00587
1999-12-01,0.00608
2000-01-01,0.00582
2000-02-01,0.00617
2000-03-01,0.00570
2000-04-01,0.00577
2000-05-01,0.00559
2000-06-01,0.00552
2000-07-01,0.00518
2000-08-01,0.00545
2000-09-01,0.00532
2000-10-01,0.00547
2000-11-01,0.00547
2000-12-01,0.00540
2001-01-01,0.00563
2001-02-01,0.00572
2001-03-01,0.00559
2001-04-01,0.00579
2001-05-01,0.00563
2001-06-01,0.00574
2001-07-01,0.00585
2001-08-01,0.00549
2001-09-01,0.00546
2001-10-01,0.00538
2001-11-01,0.00560
2001-12-01,0.00547
2002-01-01,0.00592
2002-02-01,0.00637
2002-03-01,0.00572
2002-04-01,0.00554
2002-05-01,0.00613
2002-06-01,0.00597
2002-07-01,0.00575
2002-08-01,0.00566
2002-09-01,0.00625
2002-10-01,0.00571
2002-11-01,0.00607
2002-12-01,0.00618
2003-01-01,0.00640
2003-02-01,0.00562
2003-03-01,0.00596
2003-04-01,0.00567
2003-05-01,0.00603
2003-06-01,0.00643
2003-07-01,0.00653
2003-08-01,0.00630
2003-09-01,0.00666
2003-10-01,0.00675
2003-11-01,0.00714
2003-12-01,0.00705
2004-01-01,0.00654
2004-02-01,0.00632
2004-03-01,0.00683
2004-04-01,0.00684
2004-05-01,0.00676
2004-06-01,0.00624
2004-07-01,0.00682
2004-08-01,0.00689
2004-09-01,0.00648
2004-10-01,0.00705
2004-11-01,0.00605
2004-12-01,0.00693
2005-01-01,0.00727
2005-02-01,0.00748
2005-03-01,0.00632
2005-04-01,0.00698
2005-05-01,0.00685
2005-06-01,0.00699
2005-07-01,0.00694
2005-08-01,0.00707
2005-09-01,0.00725
2005-10-01,0.00696
2005-11-01,0.00723
2005-12-01,0.00671
2006-01-01,0.00764
2006-02-01,0.00712
2006-03-01,0.00661
2006-04-01,0.00611
2006-05-01,0.00651
2006-06-01,0.00603
2006-07-01,0.00581
2006-08-01,0.00552
2006-09-01,0.00574
2006-10-01,0.00497
2006-11-01,0.00523
2006-12-01,0.00549
2007-01-01,0.00469
2007-02-01,0.00492
2007-03-01,0.00497
2007-04-01,0.00495
2007-05-01,0.00470
2007-06-01,0.00480
2007-07-01,0.00449
2007-08-01,0.00440
2007-09-01,0.00391
2007-10-01,0.00418
2007-11-01,0.00395
2007-12-01,0.00342
2008-01-01,0.00357
2008-02-01,0.00363
2008-03-01,0.00331
2008-04-01,0.00333
2008-05-01,0.00320
2008-06-01,0.00344
2008-07-01,0.00303
2008-08-01,0.00277
2008-09-01,0.00269
2008-10-01,0.00254
2008-11-01,0.00213
2008-12-01,0.00183
2009-01-01,0.00160
2009-02-01,0.00190
2009-03-01,0.00165
2009-04-01,0.00156
2009-05-01,0.00176
2009-06-01,0.00190
2009-07-01,0.00193
2009-08-01,0.00191
2009-09-01,0.00190
2009-10-01,0.00173
2009-11-01,0.00191
2009-12-01,0.00188
2010-01-01,0.00199
2010-02-01,0.00196
2010-03-01,0.00206
2010-04-01,0.00222
2010-05-01,0.00188
2010-06-01,0.00173
2010-07-01,0.00176
2010-08-01,0.00193
2010-09-01,0.00191
2010-10-01,0.00175
2010-11-01,0.00175
2010-12-01,0.00173
2011-01-01,0.00203
2011-02-01,0.00166
2011-03-01,0.00193
2011-04-01,0.00178
2011-05-01,0.00180
2011-06-01,0.00195
2011-07-01,0.00200
2011-08-01,0.00187
2011-09-01,0.00208
2011-10-01,0.00195
2011-11-01,0.00227
2011-12-01,0.00222
2012-01-01,0.00231
2012-02-01,0.00225
2012-03-01,0.00222
2012-04-01,0.00240
2012-05-01,0.00226
2012-06-01,0.00241
2012-07-01,0.00235
2012-08-01,0.00240
2012-09-01,0.00269
2012-10-01,0.00291
2012-11-01,0.00264
2012-12-01,0.00310
2013-01-01,0.00282
2013-02-01,0.00305
2013-03-01,0.00320
2013-04-01,0.00264
2013-05-01,0.00294
2013-06-01,0.00265
2013-07-01,0.00278
2013-08-01,0.00290
2013-09-01,0.00268
2013-10-01,0.00292
2013-11-01,0.00347
2013-12-01,0.00316
2014-01-01,0.00280
2014-02-01,0.00297
2014-03-01,0.00305
2014-04-01,0.00328
2014-05-01,0.00316
2014-06-01,0.00286
2014-07-01,0.00340
2014-08-01,0.00309
2014-09-01,0.00321
2014-10-01,0.00336
2014-11-01,0.00313
2014-12-01,0.00336
2015-01-01,0.00339
2015-02-01,0.00277
2015-03-01,0.00300
2015-04-01,0.00371
2015-05-01,0.00337
2015-06-01,0.00376
2015-07-01,0.00357
2015-08-01,0.00352
2015-09-01,0.00381
2015-10-01,0.00329
2015-11-01,0.00364
2015-12-01,0.00356
2016-01-01,0.00339
2016-02-01,0.00380
2016-03-01,0.00344
2016-04-01,0.00360
2016-05-01,0.00356
2016-06-01,0.00372
2016-07-01,0.00383
2016-08-01,0.00362
2016-09-01,0.00330
2016-10-01,0.00405
2016-11-01,0.00352
2016-12-01,0.00386
2017-01-01,0.00368
2017-02-01,0.00395
2017-03-01,0.00367
2017-04-01,0.00353
2017-05-01,0.00357
2017-06-01,0.00384
2017-07-01,0.00370
2017-08-01,0.00356
2017-09-01,0.00361
2017-10-01,0.00383
2017-11-01,0.00392
2017-12-01,0.00362
2018-01-01,0.00401
2018-02-01,0.00395
2018-03-01,0.00407
2018-04-01,0.00393
2018-05-01,0.00414
2018-06-01,0.00367
2018-07-01,0.00365
2018-08-01,0.00394
2018-09-01,0.00378
2018-10-01,0.00369
2018-11-01,0.00361
2018-12-01,0.00334
2019-01-01,0.00379
2019-02-01,0.00348
2019-03-01,0.00367
2019-04-01,0.00391
2019-05-01,0.00397
2019-06-01,0.00377
2019-07-01,0.00373
2019-08-01,0.00417
2019-09-01,0.00391
2019-10-01,0.00401
2019-11-01,0.00410
2019-12-01,0.00470
2020-01-01,0.00482
2020-02-01,0.00482
2020-03-01,0.00387
2020-04-01,0.00284
2020-05-01,0.00317
2020-06-01,0.00386
2020-07-01,0.00453
2020-08-01,0.00417
2020-09-01,0.00438
2020-10-01,0.00458
2020-11-01,0.00469
2020-12-01,0.00502
2021-01-01,0.00491
2021-02-01,0.00437
2021-03-01,0.00521
2021-04-01,0.00458
2021-05-01,
